Brand,Date,Facebook Page Impressions,Twitter Organic Impressions
Rockettes,10/15/2016,"1,243,790","19,402"
Rockettes,10/16/2016,"747,944","23,248"
Rockettes,10/17/2016,"723,093","25,408"
Rockettes,10/18/2016,"735,787","25,178"
Rockettes,10/19/2016,"514,176","25,779"
Rockettes,10/20/2016,"684,246","28,955"
Rockettes,10/21/2016,"647,460","25,863"
Rockettes,10/22/2016,"619,678","17,937"
Rockettes,10/23/2016,"1,188,856","24,332"
Rockettes,10/24/2016,"1,201,198","21,403"
Rockettes,10/25/2016,"1,109,041","24,753"
Rockettes,10/26/2016,"805,574","22,823"
Rockettes,10/27/2016,"830,993","27,508"
Rockettes,10/28/2016,"633,340","21,131"
Rockettes,10/29/2016,"304,823","17,629"
Rockettes,10/30/2016,"293,010","18,992"
Rockettes,10/31/2016,"185,901","24,993"
Rockettes,11/1/2016,"1,021,874","37,184"
Rockettes,11/2/2016,"852,647","17,454"
Rockettes,11/3/2016,"1,463,929","45,493"
Rockettes,11/4/2016,"1,199,164","26,052"
Rockettes,11/5/2016,"701,260","18,384"
Rockettes,11/6/2016,"774,505","37,573"
Rockettes,11/7/2016,"1,213,064","226,235"
Rockettes,11/8/2016,"1,001,630","40,626"
Rockettes,11/9/2016,"705,237","32,725"
Rockettes,11/10/2016,"1,190,126","37,851"
Rockettes,11/11/2016,"1,119,764","28,214"
Rockettes,11/12/2016,"1,074,315","22,100"
Rockettes,11/13/2016,"621,545","22,977"
Rockettes,11/14/2016,"958,567","19,700"
Rockettes,11/15/2016,"1,595,618","48,737"
Rockettes,11/16/2016,"1,087,593","30,844"
Rockettes,11/17/2016,"671,850","23,954"
Rockettes,11/18/2016,"1,139,764","20,205"
Rockettes,11/19/2016,"502,750","18,716"
Rockettes,11/20/2016,"516,143","17,335"
Rockettes,11/21/2016,"635,395","48,299"
Rockettes,11/22/2016,"875,934","34,321"
Rockettes,11/23/2016,"1,322,572","56,190"
Rockettes,11/24/2016,"1,763,273","201,275"
Rockettes,11/25/2016,"1,123,643","33,037"
Rockettes,11/26/2016,"1,454,409","21,503"
Rockettes,11/27/2016,"1,254,031","28,863"
Rockettes,11/28/2016,"1,020,503","32,714"
Rockettes,11/29/2016,"1,225,515","44,852"
Rockettes,11/30/2016,"1,733,576","190,161"
Rockettes,12/1/2016,"1,257,389","64,962"
Rockettes,12/2/2016,"1,864,745","90,141"
Rockettes,12/3/2016,"2,149,263","45,181"
Rockettes,12/4/2016,"1,719,425","32,357"
Rockettes,12/5/2016,"1,422,148","62,281"
Rockettes,12/6/2016,"1,429,109","45,640"
Rockettes,12/7/2016,"1,365,610","72,886"
